customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
XXXX-10055-XX,Female,Yes,Yes,No,77,No,Yes,Fiber optic,No internet service,Yes,No,Yes,Yes,Yes,Two year,No,Mailed check,51.85,3353.14,No
XXXX-10117-XX,Female,Yes,No,No,2,Yes,Yes,DSL,Yes,No,Yes,Yes,No internet service,No,Two year,Yes,Electronic check,23.03,5550.28,No
XXXX-10206-XX,Male,Yes,Yes,No,34,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card,20.06,4274.57,No
XXXX-10235-XX,Female,No,Yes,No,16,No,No,No,Yes,No,No,No,No internet service,No internet service,One year,Yes,Mailed check,49.35,7811.22,No
XXXX-10301-XX,Female,Yes,Yes,Yes,74,Yes,No,DSL,No,No internet service,No,No,Yes,Yes,Two year,No,Mailed check,115.06,7312.06,No
XXXX-10302-XX,Male,No,Yes,Yes,37,No,No phone service,No,Yes,No,Yes,No,Yes,Yes,One year,No,Bank transfer,118.67,6420.21,Yes
XXXX-10384-XX,Female,No,Yes,No,74,Yes,Yes,DSL,No internet service,No,Yes,No internet service,No internet service,Yes,Two year,Yes,Electronic check,81.59,2112.79,Yes
XXXX-10404-XX,Male,No,Yes,Yes,29,Yes,No phone service,No,No internet service,No internet service,No internet service,Yes,No internet service,Yes,Two year,Yes,Bank transfer,83.73,5306.02,Yes
XXXX-10412-XX,Male,Yes,No,No,8,No,No phone service,No,No,No internet service,Yes,Yes,No internet service,Yes,One year,No,Electronic check,29.28,133.67,No
XXXX-10728-XX,Female,Yes,Yes,Yes,73,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,No internet service,No,Two year,No,Electronic check,104.56,5282.43,Yes
XXXX-10769-XX,Male,No,No,Yes,16,Yes,No phone service,No,Yes,No,No,Yes,Yes,No internet service,One year,No,Mailed check,102.77,4042.06,No
XXXX-10846-XX,Male,Yes,No,No,76,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No,Yes,No internet service,One year,Yes,Credit card,87.2,8759.88,No
XXXX-10854-XX,Male,No,Yes,Yes,52,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Bank transfer,57.14,2108.7,No
XXXX-10860-XX,Male,Yes,No,No,76,No,No phone service,DSL,No internet service,No internet service,No,Yes,Yes,No internet service,Two year,Yes,Electronic check,112.26,5626.13,Yes
XXXX-11015-XX,Female,No,No,Yes,65,No,No phone service,No,No internet service,Yes,No,Yes,No,No,One year,No,Mailed check,49.76,544.71,No
XXXX-11016-XX,Female,Yes,No,No,15,No,No,DSL,No,No internet service,No internet service,Yes,No,Yes,Two year,Yes,Mailed check,75.12,5104.35,Yes
XXXX-11062-XX,Male,No,Yes,No,38,Yes,No,DSL,Yes,No internet service,Yes,No internet service,Yes,No,Two year,No,Mailed check,98.01,8532.3,No
XXXX-11150-XX,Male,Yes,Yes,Yes,64,No,No,Fiber optic,Yes,No internet service,Yes,No,Yes,No internet service,Two year,Yes,Credit card,69.79,8594.91,No
XXXX-11252-XX,Female,Yes,Yes,Yes,9,Yes,No phone service,No,No internet service,Yes,No,Yes,No,No internet service,Two year,Yes,Credit card,106.75,345.57,Yes
XXXX-11324-XX,Female,No,Yes,Yes,77,Yes,No phone service,No,No,No,No internet service,No internet service,Yes,No internet service,Two year,Yes,Mailed check,52.97,5184.51,Yes
XXXX-11342-XX,Female,No,Yes,No,50,Yes,No,No,No internet service,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Credit card,97.02,4187.93,Yes
XXXX-11542-XX,Female,Yes,Yes,No,31,No,Yes,No,No,Yes,No,Yes,No,No internet service,One year,Yes,Mailed check,21.41,7798.78,No
XXXX-11605-XX,Female,No,Yes,Yes,63,Yes,No phone service,No,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.69,7360.98,Yes
XXXX-11802-XX,Male,Yes,No,Yes,58,Yes,No phone service,No,No internet service,No internet service,No,No internet service,No,No,Month-to-month,No,Electronic check,109.5,6989.73,No
XXXX-11828-XX,Female,Yes,Yes,No,39,Yes,Yes,DSL,Yes,No internet service,No internet service,No,Yes,Yes,Two year,Yes,Credit card,57.49,7338.77,Yes
XXXX-11917-XX,Female,Yes,No,No,29,No,No phone service,No,Yes,No internet service,No internet service,No internet service,No internet service,No,One year,Yes,Electronic check,81.5,2922.24,Yes
XXXX-12049-XX,Female,Yes,Yes,No,51,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No internet service,Two year,Yes,Bank transfer,109.28,3355.32,No
XXXX-12200-XX,Female,Yes,No,Yes,46,No,No,DSL,No internet service,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.43,3704.83,Yes
XXXX-12219-XX,Male,No,No,No,47,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No internet service,No,Month-to-month,Yes,Bank transfer,28.93,8289.56,Yes
XXXX-12368-XX,Male,No,No,Yes,65,Yes,Yes,DSL,No internet service,No internet service,No,No internet service,No,No,Two year,No,Credit card,67.11,1866.55,Yes
XXXX-12557-XX,Male,Yes,Yes,Yes,62,No,No,No,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer,62.92,750.89,No
XXXX-12568-XX,Male,No,Yes,Yes,65,Yes,No phone service,DSL,Yes,No,No,No internet service,No,No internet service,One year,No,Credit card,72.3,2687.78,No
XXXX-12693-XX,Female,Yes,Yes,No,10,No,No,DSL,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Credit card,39.29,6783.86,No
XXXX-12695-XX,Female,No,No,Yes,12,No,No,No,Yes,No internet service,No,No internet service,Yes,No internet service,One year,Yes,Mailed check,83.45,1017.25,No
XXXX-12747-XX,Male,Yes,No,No,74,No,No phone service,DSL,No internet service,No,Yes,No internet service,No,No,Two year,Yes,Electronic check,112.28,7602.76,No
XXXX-12811-XX,Female,No,No,Yes,29,No,No,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No,One year,No,Electronic check,107.37,8086.1,No
XXXX-12869-XX,Female,Yes,Yes,Yes,14,No,Yes,Fiber optic,Yes,No internet service,No internet service,No,No internet service,No,One year,Yes,Credit card,64.72,4429.79,No
XXXX-12911-XX,Female,No,Yes,Yes,77,Yes,Yes,No,Yes,No internet service,Yes,No,No,No,One year,No,Credit card,35.44,7703.31,Yes
XXXX-13051-XX,Male,Yes,Yes,Yes,54,No,No phone service,No,Yes,No,No,Yes,No internet service,No internet service,One year,Yes,Electronic check,58.66,8813.56,Yes
XXXX-13267-XX,Male,Yes,No,No,5,No,No,No,No,No,No internet service,No,No internet service,No internet service,Two year,Yes,Electronic check,87.96,509.77,Yes
